Researcher,Overview,book,"length (pages, time stamp, slide #) ",text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
,,Romeo And Juliet,257,drama,Shakespeare's play about two young people who defy their warring families' prejudices and dare to fall in love.,Wiliam Shakespeare,1595,,,Very Complex,Very Complex,Exceedingly Complex,Very Complex,,700,15,8.6,8 to 12 ,,"classic, drama",tragedy,"vendetta, romantic, tear-jerker, british, european, forbidden love, family feuds",
,,To Kill A Mockingbird,323,novel ,"Scout Finch, daughter of the town lawyer, likes to spend her summers building treehouses, swimming, and catching lightning bugs with her big brother Jem. But one summer, when a black man is accused of raping a white woman, Scout's carefree days come to an end. In the county courtroom, she will join her father in a desperate battle against ignorance and prejudice.",Harper Lee,1960,,,Very Complex,Very Complex,Very Complex,Very Complex,,790,7.72,7.03,7 to 12 ,,historical fiction,facing racism,"bittersweet, moving, thought-provoking, modern classic, racism",
,,Great Gatsby,216,novel ,"Newly rich Jay Gatsby tries to recapture the past and win back Daisy Buchanan, his former love, despite the fact she has married.",F. Scott Fitzgerald,1925,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,1010,11,7.3,10 to 12 ,,realistic fiction,"revenge love, class and society","romantic, american dream, revenge love, forbidden love, atmospheric",
,,Of Mice And Men,118,novel ,"The tragic story of two itinerant ranch hands on the run during the Great Depression--one is the lifelong companion to the other, a developmentally disabled man.",John Steinbeck,1937,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,630,5.34,5.14,7 to 12 ,,realistic fiction,"pursuit of happiness, toxic capitalism","bleak, haunting, melancholy, moving, flawed friendship, social justice, American dream",
,,Lord Of The Flies,224,novel ,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island.,William Golding,1954,,,Very Complex,Very Complex,Very Complex,Very Complex,,770,7.03,7.72,7 to 12 ,,psychological fiction,"human nature, loss of innocence","bleak, thought-provoking, disturbing, haunting, teen-drama",
,,Fahrenheit 451,249,novel ,"Guy Montag's career focuses on burning books, until he begins stealing books and rebeling against his oppressive society. ",Ray Bradbury,1953,,,Very Complex,Very Complex,Very Complex,Very complex,,890,7,5.2,9 to 12 ,,dystopian fiction,"censorship, individuality ","science fiction, influence of mass media, reliance on technology, totalitarian society, surveillance, oppression, politics",
,,Animal Farm,141,novella,"After overthrowing their human owner, the animals on the farm create a society that is also corrupted and tyrannical due to an unequal balance of power. ",George Orwell,1945,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,1170,8.9,7.3,9 to 11 ,,"satire, fable","class corruption, propaganda","allegory, dystopian fiction, classic, thought-provoking, soviet union",
,,Julius Caesar,256,drama,"A tragedy that chronicles the political conspiracy against the Roman dictator Julius Caesar, his assassination, and its aftermath.",William Shakespeare,1599,,,Very Complex,Very Complex,Exceedingly Complex,Very Complex,,740,7.55,10.8,9 to 12 ,,"classic, drama","ambition, fate vs. free will","tragedy, historical fiction, roman, deception, superstitions, heroism",Roman Play
,,Macbeth,240,drama,"A tragedy that follows the rise and fall of Macbeth, whose unchecked ambition leads him down a path of murder and tyranny.",William Shakespeare,1623,,,Very Complex,Very Complex,Exceedingly Complex,Very Complex,,1390,10,8.5,10 to 12 ,,"classic, drama","unchecked ambition, guilt","tragedy, european, supernatural, morality, gender roles, classic, moral ambiguity",
,,1984,328,novel ,"The Party exercises absolute control over every aspect of life, but Winston Smith secretly rebels against the oppressive regime by seeking truth and love.",George Orwell ,1949,,,Moderately Complex ,Very Complex,Moderately Complex,Very Complex,,1090,8,8.9,11 to 12 ,,dystopian fiction,"totalitarianism, technological control","science fiction, manipulation, thought-provoking, individuality, surveillance, revolution",
